Time,Average,MvgAvg,Sum,Med
767.356356144,70.5765625,70.210265625,1355070,12.0
767.50128603,70.74921875,70.261796875,1358385,12.0
767.639224052,70.5234375,70.318375,1354050,12.0
767.736726999,70.66953125,70.377078125,1356855,12.0
767.885250092,71.67890625,70.468453125,1376235,12.0
767.939319134,71.93125,70.2896875,1381080,12.0
768.091320038,71.38671875,70.013703125,1370625,12.0
768.235111952,72.02421875,69.75578125,1382865,13.0
768.390593052,73.77734375,69.56028125,1416525,13.0
768.553987026,74.62734375,69.397453125,1432845,13.0
768.609111071,74.49453125,69.236484375,1430295,13.0
768.701143026,73.85703125,69.027171875,1418055,13.0
768.853292942,74.6140625,69.19584375,1432590,13.0
768.923444986,75.02578125,69.374078125,1440495,13.0
769.060763121,74.86640625,69.535046875,1437435,13.0
769.205881119,75.21171875,69.687515625,1444065,13.0
769.298218966,74.9328125,69.843703125,1438710,13.0
769.438530922,74.9859375,70.012375,1439730,13.0
769.587836027,75.34453125,70.194328125,1446615,13.0
769.738556147,76.06171875,70.38425,1460385,13.0
769.834255934,74.94609375,70.549734375,1438965,13.0
769.971704006,75.384375,70.718671875,1447380,13.0
770.065803051,75.75625,70.887078125,1454520,13.0
770.205285072,75.1453125,71.033703125,1442790,13.0
770.298141956,74.0296875,71.17634375,1421370,13.0
770.456212044,74.9328125,71.323765625,1438710,13.0
770.59495306,74.2421875,71.450734375,1425450,13.0
770.735281944,75.18515625,71.590453125,1443555,13.0
770.884354115,75.26484375,71.74584375,1445085,13.0
770.938347101,75.39765625,71.9015,1447635,13.0
771.032211065,74.81328125,72.041484375,1436415,13.0
771.170536995,75.39765625,72.1915625,1447635,13.0
771.269722939,74.97265625,72.32490625,1439475,13.0
771.417537928,75.07890625,72.469671875,1441515,13.0
771.472094059,74.2421875,72.589203125,1425450,13.0
771.569913149,74.52109375,72.70740625,1430805,13.0
771.72034812,73.51171875,72.81153125,1411425,13.0
771.860924006,73.63125,72.916453125,1413720,13.0
772.000574112,73.00703125,72.999328125,1401735,13.0
772.136920929,73.61796875,73.102921875,1413465,13.0
772.282997131,72.63515625,73.1966875,1394595,13.0
772.341153145,72.82109375,73.285140625,1398165,13.0
772.434246063,71.91796875,73.33640625,1380825,12.0
772.571095943,71.43984375,73.383953125,1371645,12.0
772.66424799,71.91796875,73.436546875,1380825,12.0
772.803210974,71.59921875,73.471875,1374705,12.0
772.897520065,72.9140625,73.535890625,1399950,13.0
773.038092136,72.5421875,73.575734375,1392810,13.0
773.138046026,73.21953125,73.63975,1405815,13.0
773.230983019,72.621875,73.680921875,1394340,12.0
773.369847059,72.78125,73.725015625,1397400,13.0
773.51927495,71.41328125,73.738296875,1371135,12.0
773.579393148,71.6390625,73.760609375,1375470,12.0
773.66829896,71.6921875,73.7810625,1376490,12.0
773.817055941,72.05078125,73.7885,1383375,13.0
773.959846973,71.2671875,73.77521875,1368330,12.0
774.101763964,71.6390625,73.780265625,1375470,12.0
774.250905991,71.5328125,73.7704375,1373430,12.0
774.312473059,71.6125,73.727140625,1374960,12.0
774.399871111,71.7984375,73.6705625,1378530,13.0
774.553195,71.65234375,73.61371875,1375725,12.0
774.701725006,71.73203125,73.57121875,1377255,12.0
774.853901148,71.12109375,73.501359375,1365525,12.0
774.996688128,72.02421875,73.441328125,1382865,12.0
775.135791063,71.3203125,73.37040625,1369350,12.0
775.283900976,71.7984375,73.302140625,1378530,12.0
775.349594116,72.8078125,73.259640625,1397910,13.0
775.405092955,72.92734375,73.21846875,1400205,13.0
775.502867937,73.06015625,73.17278125,1402755,13.0
775.597447157,72.23671875,73.09628125,1386945,13.0
775.69678998,72.02421875,73.03784375,1382865,13.0
775.798150063,72.35625,72.97728125,1389240,12.0
775.898468971,82.99453125,73.122046875,1593495,15.0
775.997820139,91.46796875,73.4485,1756185,17.0
776.137169123,93.85859375,73.845078125,1802085,17.0
776.232455015,93.61953125,74.2188125,1797495,17.0
776.369516134,94.07109375,74.615390625,1806165,18.0
776.519463062,92.33125,74.9583125,1772760,17.0
776.682922125,91.3484375,75.279984375,1753890,17.0
776.734884977,91.05625,75.59315625,1748280,17.0
776.833439112,91.22890625,75.92146875,1751595,17.0
776.932904005,91.22890625,76.23809375,1751595,17.0
777.08297801,91.14921875,76.561625,1750065,17.0
777.136754036,91.4015625,76.888078125,1754910,17.0
777.230855942,91.3484375,77.230203125,1753890,17.0
777.385833979,91.41484375,77.568078125,1755165,17.0
777.443414927,91.94609375,77.936765625,1765365,17.0
777.598335981,91.853125,78.301203125,1763580,17.0
777.735980988,90.790625,78.656875,1743180,17.0
777.83070302,90.63125,78.997140625,1740120,17.0
777.969063044,90.896875,79.362375,1745220,17.0
778.064263105,91.81328125,79.74221875,1762815,17.0
778.203931093,90.5515625,80.114890625,1738590,17.0
778.299139977,90.684375,80.49978125,1741140,17.0
778.4363451,89.98046875,80.86103125,1727625,17.0
778.58356595,90.93671875,81.24778125,1745985,17.0
778.642984152,90.93671875,81.608234375,1745985,17.0
778.734173059,90.63125,81.970015625,1740120,17.0
778.884283066,90.790625,82.3214375,1743180,17.0
778.939203024,90.80390625,82.685078125,1743435,17.0
779.088377953,90.3125,83.035703125,1734000,17.0
779.229182959,90.88359375,83.425109375,1744965,17.0
779.368885994,90.59140625,83.80415625,1739355,17.0
779.518445015,90.06015625,84.171515625,1729155,17.0
779.664497137,89.98046875,84.530109375,1727625,17.0
779.802047014,90.48515625,84.91446875,1737315,17.0
779.896672964,90.0203125,85.28209375,1728390,17.0
780.035298109,89.2234375,85.63590625,1713090,17.0
780.182485104,89.44921875,85.992640625,1717425,17.0
780.233968973,90.06015625,86.357875,1729155,17.0
780.334253073,90.046875,86.725765625,1728900,17.0
780.430346966,89.68828125,87.084890625,1722015,17.0
780.570466995,89.409375,87.45065625,1716660,17.0
780.663005114,88.9046875,87.788265625,1706970,17.0
780.803461075,86.009375,88.082046875,1651380,16.0
780.899830103,85.159375,88.349265625,1635060,16.0
781.051411152,96.103125,88.815171875,1845180,18.0
781.106289148,95.02734375,89.257171875,1824525,18.0
781.196007967,95.82421875,89.712453125,1839825,18.0
781.337172985,87.27109375,90.013140625,1675605,17.0
781.428879023,97.4046875,90.52075,1870170,19.0
781.582663059,86.328125,90.8001875,1657500,16.0
781.636517048,90.9765625,90.959828125,1746750,17.0
